 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,AR,Round,Solidity
1,binarized coins.tif,500.505,14.187,14.269,14.187,14.269,83.696,0.898,1.003,0.997,0.988
2,binarized coins.tif,461.345,65.144,13.856,65.144,13.856,80.067,0.904,1.004,0.996,0.988
3,binarized coins.tif,351.524,38.911,13.449,38.911,13.449,70.134,0.898,1.003,0.997,0.986
4,binarized coins.tif,560.832,38.514,39.566,38.514,39.566,88.327,0.903,1.005,0.995,0.989
5,binarized coins.tif,505.797,65.677,40.073,65.677,40.073,84.235,0.896,1.002,0.998,0.988
6,binarized coins.tif,418.989,12.342,40.672,12.342,40.672,77.632,0.874,1.006,0.994,0.984
7,binarized coins.tif,578.228,22.462,67.027,22.462,67.027,126.059,0.457,2.239,0.447,0.866
8,binarized coins.tif,264.417,66.577,67.165,66.577,67.165,60.757,0.900,1.004,0.996,0.985
9,binarized coins.tif,193.059,49.308,67.806,49.308,67.806,51.903,0.901,1.006,0.994,0.983
10,binarized coins.tif,0.025,3.239,70.540,3.239,70.540,0.447,1.000,1.000,1.000,1.000
11,binarized coins.tif,0.025,3.871,71.804,3.871,71.804,0.447,1.000,1.000,1.000,1.000
12,binarized coins.tif,0.050,4.266,72.120,4.266,72.120,0.670,1.000,2.000,0.500,1.000
13,binarized coins.tif,0.075,4.555,72.541,4.555,72.541,0.894,1.000,1.464,0.683,0.857
