 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,AR,Round,Solidity
1,sand grains.jpg,0.009,1.024,0.090,1.024,0.090,0.404,0.689,1.875,0.533,0.945
2,sand grains.jpg,0.013,0.464,0.090,0.464,0.090,0.478,0.705,1.048,0.955,0.962
3,sand grains.jpg,0.012,0.838,0.093,0.838,0.093,0.464,0.707,1.593,0.628,0.959
4,sand grains.jpg,0.009,0.283,0.095,0.283,0.095,0.372,0.786,1.340,0.746,0.967
5,sand grains.jpg,0.006,0.093,0.090,0.093,0.090,0.303,0.786,1.196,0.836,0.962
6,sand grains.jpg,0.006,0.649,0.095,0.649,0.095,0.307,0.783,1.202,0.832,0.967
7,sand grains.jpg,0.016,0.466,0.273,0.466,0.273,0.518,0.732,1.298,0.770,0.958
8,sand grains.jpg,0.010,0.839,0.273,0.839,0.273,0.418,0.721,1.319,0.758,0.943
9,sand grains.jpg,0.008,0.276,0.279,0.276,0.279,0.357,0.758,1.145,0.873,0.948
10,sand grains.jpg,0.007,0.650,0.276,0.650,0.276,0.341,0.806,1.055,0.948,0.973
11,sand grains.jpg,0.008,1.020,0.276,1.020,0.276,0.355,0.782,1.179,0.848,0.966
12,sand grains.jpg,0.006,0.096,0.277,0.096,0.277,0.360,0.627,1.587,0.630,0.931
13,sand grains.jpg,0.017,1.025,0.464,1.025,0.464,0.531,0.772,1.445,0.692,0.961
14,sand grains.jpg,0.013,0.464,0.474,0.464,0.474,0.482,0.691,1.586,0.631,0.939
15,sand grains.jpg,0.010,0.654,0.469,0.654,0.469,0.421,0.693,1.179,0.848,0.940
16,sand grains.jpg,0.008,0.096,0.468,0.096,0.468,0.358,0.768,1.371,0.729,0.967
17,sand grains.jpg,0.006,0.838,0.467,0.838,0.467,0.336,0.639,1.550,0.645,0.938
18,sand grains.jpg,0.005,0.277,0.470,0.277,0.470,0.275,0.759,1.471,0.680,0.958
19,sand grains.jpg,0.020,0.649,0.652,0.649,0.652,0.597,0.689,1.136,0.880,0.958
20,sand grains.jpg,0.017,0.282,0.653,0.282,0.653,0.561,0.678,1.576,0.634,0.919
21,sand grains.jpg,0.012,0.098,0.650,0.098,0.650,0.436,0.779,1.070,0.935,0.972
22,sand grains.jpg,0.007,0.468,0.653,0.468,0.653,0.362,0.656,1.112,0.900,0.892
23,sand grains.jpg,0.004,1.027,0.650,1.027,0.650,0.285,0.691,1.614,0.620,0.947
24,sand grains.jpg,0.005,0.839,0.654,0.839,0.654,0.279,0.758,1.363,0.734,0.949
25,sand grains.jpg,0.020,0.654,0.837,0.654,0.837,0.584,0.742,1.123,0.891,0.938
26,sand grains.jpg,0.011,1.025,0.833,1.025,0.833,0.417,0.807,1.208,0.828,0.976
27,sand grains.jpg,0.008,0.268,0.836,0.268,0.836,0.347,0.796,1.270,0.788,0.965
28,sand grains.jpg,0.007,0.094,0.835,0.094,0.835,0.373,0.605,1.089,0.918,0.882
29,sand grains.jpg,0.006,0.840,0.836,0.840,0.836,0.357,0.638,1.127,0.887,0.900
30,sand grains.jpg,0.004,0.465,0.834,0.465,0.834,0.257,0.784,1.094,0.914,0.961
31,sand grains.jpg,0.022,0.468,1.022,0.468,1.022,0.585,0.810,1.067,0.937,0.978
32,sand grains.jpg,0.015,0.281,1.023,0.281,1.023,0.546,0.641,1.301,0.769,0.908
33,sand grains.jpg,0.009,0.655,1.026,0.655,1.026,0.422,0.654,1.799,0.556,0.939
34,sand grains.jpg,0.008,0.090,1.020,0.090,1.020,0.355,0.767,1.154,0.866,0.960
35,sand grains.jpg,0.005,1.030,1.024,1.030,1.024,0.314,0.688,1.622,0.617,0.952
36,sand grains.jpg,0.006,0.837,1.024,0.837,1.024,0.324,0.747,1.559,0.641,0.952
